Yaw,PosX,PosY,VelocityNorm,AngularVelocityZ,Time,angular_acceleration
7.59208079275502,8.2,-5.5,5,1.2865600057950201e-09,0.0,0.0
7.59197063974883,8.24956169477161,-5.49339406241589,5,-0.0220306025245853,0.01,-2.2030603811145304
7.59164018070453,8.29912341494305,-5.4867883153998,5,-0.0440612063357306,0.02,-2.2030603811145304
7.59108941562211,8.34868518591197,-5.48018294952005,5,-0.0660918101468759,0.03,-2.20306038111453
7.59031834450159,8.3982470330716,-5.47357815534555,5,-0.0881224139580212,0.04,-2.20306038111453
7.58932696734296,8.4478089818086,-5.4669741234461,5,-0.110153017769166,0.05,-2.2030603811144798
7.58811528414621,8.49737105750081,-5.46037104439265,5,-0.132183621580312,0.06,-2.2030603811145992
7.58668329491135,8.5469332855151,-5.45376910875763,5,-0.154214225391457,0.07,-2.2030603811144993
7.58503099963838,8.59649569120515,-5.44716850711521,5,-0.176244829202602,0.08,-2.203060381114502
7.5831583983273,8.64605829990924,-5.44056943004163,5,-0.198275433013748,0.09,-2.2030603811145992
7.5810654909781,8.69562113694806,-5.43397206811546,5,-0.220306036824893,0.1,-2.2030603811144993
7.5787522775908,8.74518422762253,-5.42737661191789,5,-0.242336640636038,0.11,-2.2030603811144993
7.57621875816538,8.79474759721159,-5.42078325203305,5,-0.264367244447184,0.12,-2.203060381114602
7.57346493270186,8.84431127096998,-5.41419217904828,5,-0.286397848258329,0.13,-2.2030603811144966
7.57049080120022,8.89387527412607,-5.40760358355443,5,-0.308428452069474,0.14,-2.203060381114502
7.56729636366047,8.94343963187965,-5.40101765614611,5,-0.330459055880619,0.15,-2.203060381114502
7.56388162008261,8.99300436939973,-5.39443458742206,5,-0.352489659691765,0.16,-2.2030603811145966
7.56024657046663,9.04256951182235,-5.38785456798536,5,-0.37452026350291,0.17,-2.203060381114502
7.55639121481255,9.09213508424835,-5.38127778844376,5,-0.396550867314055,0.18,-2.2030603811144966
7.55231555312035,9.14170111174124,-5.37470443940995,5,-0.418581471125201,0.19,-2.203060381114602
7.54801958539004,9.19126761932491,-5.36813471150186,5,-0.440612074936346,0.2,-2.203060381114502
7.54350331162162,9.24083463198151,-5.36156879534293,5,-0.462642678747491,0.21,-2.2030603811144966
7.53876673181509,9.2904021746492,-5.35500688156242,5,-0.484673282558637,0.22,-2.203060381114602
7.53380984597045,9.33997027221998,-5.34844916079565,5,-0.506703886369782,0.23,-2.203060381114502
7.5286326540877,9.38953894953746,-5.34189582368433,5,-0.528734490180927,0.24,-2.2030603811144966
7.52323515616683,9.43910823139469,-5.33534706087683,5,-0.550765093992073,0.25,-2.2030603811145966
7.51761735220786,9.48867814253197,-5.32880306302844,5,-0.572795697803218,0.26,-2.2030603811145077
7.51177924221077,9.53824870763459,-5.32226402080167,5,-0.594826301614363,0.27,-2.2030603811144966
7.50572082617557,9.5878199513307,-5.31573012486652,5,-0.616856905425508,0.28,-2.2030603811144966
7.49944210410226,9.63739189818907,-5.30920156590077,5,-0.638887509236654,0.29,-2.2030603811146077
7.49294307599084,9.68696457271689,-5.30267853459024,5,-0.660918113047799,0.3,-2.2030603811144966
7.4862237418413,9.73653799935759,-5.29616122162907,5,-0.682948716858944,0.31,-2.2030603811144966
7.47928410165366,9.78611220248863,-5.28964981772003,5,-0.70497932067009,0.32,-2.2030603811145966
7.4721241554279,9.83568720641927,-5.28314451357472,5,-0.727009924481235,0.33,-2.2030603811145077
7.46474390316403,9.88526303538844,-5.27664549991392,5,-0.74904052829238,0.34,-2.2030603811144966
7.45714334486205,9.93483971356246,-5.27015296746781,5,-0.771071132103526,0.35,-2.2030603811145966
7.44932248052196,9.98441726503288,-5.26366710697626,5,-0.793101735914671,0.36,-2.2030603811145077
7.44128131014376,10.0339957138143,-5.25718810918908,5,-0.815132339725816,0.37,-2.2030603811144966
7.43301983372745,10.0835750838421,-5.25071616486632,5,-0.837162943536961,0.38,-2.2030603811144966
7.42453805127302,10.1331553989702,-5.24425146477849,5,-0.859193547348107,0.39,-2.2030603811146077
7.41583596278048,10.1827366829692,-5.23779419970686,5,-0.881224151159252,0.4,-2.2030603811144966
7.40691356824983,10.2323189595237,-5.23134456044372,5,-0.903254754970398,0.41,-2.2030603811145966
7.39777086768107,10.2819022522303,-5.22490273779261,5,-0.925285358781543,0.42,-2.2030603811145077
7.3884078610742,10.3314865845954,-5.2184689225686,5,-0.947315962592688,0.43,-2.2030603811144966
7.37882454842922,10.3810719800333,-5.21204330559855,5,-0.969346566403833,0.44,-2.2030603811144966
7.36902092974613,10.4306584618632,-5.20562607772136,5,-0.991377170214979,0.45,-2.2030603811145966
7.35899700502492,10.480246053308,-5.19921742978822,5,-1.01340777402612,0.46,-2.203060381114108
7.34875277426561,10.5298347774912,-5.19281755266285,5,-1.03543837783727,0.47,-2.2030603811149962
7.33828823746818,10.5794246574354,-5.18642663722177,5,-1.05746898164841,0.48,-2.203060381113997
7.32760339463264,10.6290157160595,-5.18004487435455,5,-1.07949958545956,0.49,-2.2030603811149962
7.31669824575899,10.678607976177,-5.17367245496404,5,-1.10153018927071,0.5,-2.2030603811149962
7.30557279084722,10.7282014604936,-5.16730956996659,5,-1.12356079308185,0.51,-2.2030603811140193
7.29422702989735,10.7777961916047,-5.16095641029237,5,-1.145591396893,0.52,-2.2030603811149962
7.28266096290936,10.8273921919937,-5.1546131668855,5,-1.16762200070414,0.53,-2.203060381113997
7.27087458988326,10.8769894840297,-5.1482800307044,5,-1.18965260451529,0.54,-2.2030603811149962
